1664439628152|0|rollback|connection 86|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439725214|6|commit|connection 105|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439725889|0|statement|connection 106|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select member0_.id as id1_2_0_, member0_.create_date as create_d2_2_0_, member0_.modify_date as modify_d3_2_0_, member0_.email as email4_2_0_, member0_.password as password5_2_0_, member0_.profile_img as profile_6_2_0_, member0_.username as username7_2_0_ from member member0_ where member0_.id=?|select member0_.id as id1_2_0_, member0_.create_date as create_d2_2_0_, member0_.modify_date as modify_d3_2_0_, member0_.email as email4_2_0_, member0_.password as password5_2_0_, member0_.profile_img as profile_6_2_0_, member0_.username as username7_2_0_ from member member0_ where member0_.id=1
1664439725891|1|statement|connection 106|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|update member set create_date=?, modify_date=?, email=?, password=?, profile_img=?, username=? where id=?|update member set create_date='2022-09-29T17:22:05.200+0900', modify_date='2022-09-29T17:22:05.889+0900', email='user1@test.com', password='$2a$10$Pj2/Xskk02YpxJrvelhc7OLHa1QVVtexVa.CO2G3BduKUAr/3h5Gq', profile_img='member/2022_09_29/614160ff-6492-4e37-ad93-813635f649b4.jpg', username='user1' where id=1
1664439725895|3|commit|connection 106|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439725896|0|statement|connection 107|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into member (create_date, modify_date, email, password, profile_img, username) values (?, ?, ?, ?, ?, ?)|insert into member (create_date, modify_date, email, password, profile_img, username) values ('2022-09-29T17:22:05.895+0900', '2022-09-29T17:22:05.895+0900', 'user2@test.com', '$2a$10$Pj2/Xskk02YpxJrvelhc7OLHa1QVVtexVa.CO2G3BduKUAr/3h5Gq', NULL, 'user2')
1664439725900|3|commit|connection 107|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439726351|0|statement|connection 108|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select member0_.id as id1_2_0_, member0_.create_date as create_d2_2_0_, member0_.modify_date as modify_d3_2_0_, member0_.email as email4_2_0_, member0_.password as password5_2_0_, member0_.profile_img as profile_6_2_0_, member0_.username as username7_2_0_ from member member0_ where member0_.id=?|select member0_.id as id1_2_0_, member0_.create_date as create_d2_2_0_, member0_.modify_date as modify_d3_2_0_, member0_.email as email4_2_0_, member0_.password as password5_2_0_, member0_.profile_img as profile_6_2_0_, member0_.username as username7_2_0_ from member member0_ where member0_.id=2
1664439726353|0|statement|connection 108|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|update member set create_date=?, modify_date=?, email=?, password=?, profile_img=?, username=? where id=?|update member set create_date='2022-09-29T17:22:05.895+0900', modify_date='2022-09-29T17:22:06.352+0900', email='user2@test.com', password='$2a$10$Pj2/Xskk02YpxJrvelhc7OLHa1QVVtexVa.CO2G3BduKUAr/3h5Gq', profile_img='member/2022_09_29/cb518a53-4e0f-4ef7-8dd0-e8e950211638.jpg', username='user2' where id=2
1664439726356|3|commit|connection 108|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439726362|0|statement|connection 109|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into article (create_date, modify_date, author_id, content, subject) values (?, ?, ?, ?, ?)|insert into article (create_date, modify_date, author_id, content, subject) values ('2022-09-29T17:22:06.360+0900', '2022-09-29T17:22:06.360+0900', 1, '내용1', '제목1')
1664439726367|4|commit|connection 109|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439726802|0|statement|connection 110|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=1 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=1
1664439726808|1|statement|connection 111|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:06.805+0900', '2022-09-29T17:22:06.805+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 1, 10877, false, '19a7df22-6d3e-4ed4-9cb3-42b43cf1d537.jpg', 1, 'article', 'inBody', 'common')
1664439726814|5|commit|connection 111|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439727246|1|statement|connection 112|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=1 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=2
1664439727249|0|statement|connection 113|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:07.248+0900', '2022-09-29T17:22:07.248+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 2, 9347, false, '8972f43c-1430-42c2-88c4-a0225e6c304c.jpg', 1, 'article', 'inBody', 'common')
1664439727257|7|commit|connection 113|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439727933|0|statement|connection 114|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=1 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=3
1664439727934|0|statement|connection 115|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:07.933+0900', '2022-09-29T17:22:07.933+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 3, 11206, false, 'a6c7b010-f528-4cb3-a8ee-5d48d2b2cc0a.jpg', 1, 'article', 'inBody', 'common')
1664439727940|5|commit|connection 115|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439728386|1|statement|connection 116|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=1 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=4
1664439728390|1|statement|connection 117|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:08.388+0900', '2022-09-29T17:22:08.388+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 4, 3629, false, '279ab1b0-3961-4a82-8721-118513d4e9c9.jpg', 1, 'article', 'inBody', 'common')
1664439728396|5|commit|connection 117|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439728398|0|statement|connection 118|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into article (create_date, modify_date, author_id, content, subject) values (?, ?, ?, ?, ?)|insert into article (create_date, modify_date, author_id, content, subject) values ('2022-09-29T17:22:08.397+0900', '2022-09-29T17:22:08.397+0900', 1, '내용2', '제목2')
1664439728404|5|commit|connection 118|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439728840|1|statement|connection 119|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=2 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=1
1664439728845|1|statement|connection 120|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:08.842+0900', '2022-09-29T17:22:08.842+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 1, 12992, false, '7236ae37-5217-4d04-a727-5241024f6fd1.jpg', 2, 'article', 'inBody', 'common')
1664439728852|6|commit|connection 120|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
1664439729324|0|statement|connection 121|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code=? and genfile0_.rel_id=? and genfile0_.type_code=? and genfile0_.type2code=? and genfile0_.file_no=?|select genfile0_.id as id1_1_, genfile0_.create_date as create_d2_1_, genfile0_.modify_date as modify_d3_1_, genfile0_.file_dir as file_dir4_1_, genfile0_.file_ext as file_ext5_1_, genfile0_.file_ext_type2code as file_ext6_1_, genfile0_.file_ext_type_code as file_ext7_1_, genfile0_.file_no as file_no8_1_, genfile0_.file_size as file_siz9_1_, genfile0_.is_ready as is_read10_1_, genfile0_.origin_file_name as origin_11_1_, genfile0_.rel_id as rel_id12_1_, genfile0_.rel_type_code as rel_typ13_1_, genfile0_.type2code as type14_1_, genfile0_.type_code as type_co15_1_ from gen_file genfile0_ where genfile0_.rel_type_code='article' and genfile0_.rel_id=2 and genfile0_.type_code='common' and genfile0_.type2code='inBody' and genfile0_.file_no=2
1664439729326|0|statement|connection 122|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|insert into gen_file (create_date, modify_date, file_dir, file_ext, file_ext_type2code, file_ext_type_code, file_no, file_size, is_ready, origin_file_name, rel_id, rel_type_code, type2code, type_code) values ('2022-09-29T17:22:09.325+0900', '2022-09-29T17:22:09.325+0900', 'article/2022_09_29', 'jpg', 'jpg', 'img', 2, 10348, false, 'f971c70a-626c-4ec0-b8a1-df580b6b1700.jpg', 2, 'article', 'inBody', 'common')
1664439729332|5|commit|connection 122|url jdbc:mysql://127.0.0.1:3306/app10?useUnicode=true&characterEncoding=utf8&autoReconnect=true&serverTimezone=Asia/Seoul||
